sku,dup,grainger_cat,search,gc,zoro,grainger,amzn,fast,msm
sku1,0,Power Transmission,CONTROL+DEVICES+SP25-0A150,null,http://zoro.com/search?q=CONTROL+DEVICES+SP25-0A150,,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=CONTROL+DEVICES+SP25-0A150,https://www.fastenal.com/products?term=CONTROL+DEVICES+SP25-0A150,http://www.mscdirect.com/browse/?searchterm=CONTROL+DEVICES+SP25-0A150
sku2,0,Metalworking,SANDVIK+COROMANT+E005M6,null,http://zoro.com/search?q=SANDVIK+COROMANT+E005M6,http://grainger.com/product/SANDVIK-COROMANT-SCREW-4PUR3?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/4PUP3_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=SANDVIK+COROMANT+E005M6,https://www.fastenal.com/products?term=SANDVIK+COROMANT+E005M6,http://www.mscdirect.com/browse/?searchterm=SANDVIK+COROMANT+E005M6
sku3,0,Metalworking,SANDVIK+COROMANT+E003M3,null,http://zoro.com/search?q=SANDVIK+COROMANT+E003M3,http://grainger.com/product/SANDVIK-COROMANT-SCREW-4PUR3?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/4PUP3_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=SANDVIK+COROMANT+E003M3,https://www.fastenal.com/products?term=SANDVIK+COROMANT+E003M3,http://www.mscdirect.com/browse/?searchterm=SANDVIK+COROMANT+E003M3
sku4,0,Hand Tools,IRWIN+STRAIT-LINE+1932893,null,http://zoro.com/search?q=IRWIN+STRAIT-LINE+1932893,http://grainger.com/product/IRWIN-STRAIT-LINE-Chalk-Reel-Replacement-Line-31LV94?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/31LV94_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=IRWIN+STRAIT-LINE+1932893,https://www.fastenal.com/products?term=IRWIN+STRAIT-LINE+1932893,http://www.mscdirect.com/browse/?searchterm=IRWIN+STRAIT-LINE+1932893
sku5,0,Power Transmission,OPTRONICS+MCL56RBPG,null,http://zoro.com/search?q=OPTRONICS+MCL56RBPG,http://grainger.com/product/OPTRONICS-Single-Diode-3HEJ3?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/3HEJ3_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=OPTRONICS+MCL56RBPG,https://www.fastenal.com/products?term=OPTRONICS+MCL56RBPG,http://www.mscdirect.com/browse/?searchterm=OPTRONICS+MCL56RBPG
sku6,0,Safety & Security,BRADY+131865,null,http://zoro.com/search?q=BRADY+131865,http://grainger.com/product/BRADY-Danger-Sign-26VH22?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/26VH22_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=BRADY+131865,https://www.fastenal.com/products?term=BRADY+131865,http://www.mscdirect.com/browse/?searchterm=BRADY+131865
sku7,0,Metalworking,MICRO+100+E-8,null,http://zoro.com/search?q=MICRO+100+E-8,http://grainger.com/product/MICRO-100-Brazed-Tool-Bit-18D439?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/18D437_AW01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=MICRO+100+E-8,https://www.fastenal.com/products?term=MICRO+100+E-8,http://www.mscdirect.com/browse/?searchterm=MICRO+100+E-8
sku8,0,Other,AVERY+AVE15766,null,http://zoro.com/search?q=AVERY+AVE15766,http://grainger.com/product/AVERY-Navy-Blue-Flexi-View-Binder-35X493?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/35X493_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=AVERY+AVE15766,https://www.fastenal.com/products?term=AVERY+AVE15766,http://www.mscdirect.com/browse/?searchterm=AVERY+AVE15766
sku9,0,Metalworking,NUCOR+452434-PG,null,http://zoro.com/search?q=NUCOR+452434-PG,http://grainger.com/product/NUCOR-Hex-Head-Cap-Screw-5-8-11-6HAD7?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/1RLY5_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=NUCOR+452434-PG,https://www.fastenal.com/products?term=NUCOR+452434-PG,http://www.mscdirect.com/browse/?searchterm=NUCOR+452434-PG
sku10,0,HVAC,DAYTON+4C231,Grainger Choice,http://zoro.com/search?q=DAYTON+4C231,http://grainger.com/product/DAYTON-Blade-4C231?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/2C406_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=DAYTON+4C231,https://www.fastenal.com/products?term=DAYTON+4C231,http://www.mscdirect.com/browse/?searchterm=DAYTON+4C231
sku11,0,Other,ARMSTRONG+1715,null,http://zoro.com/search?q=ARMSTRONG+1715,http://grainger.com/product/ARMSTRONG-Acoustical-Ceiling-Tile-6YLR5?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/6YLR5_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=ARMSTRONG+1715,https://www.fastenal.com/products?term=ARMSTRONG+1715,http://www.mscdirect.com/browse/?searchterm=ARMSTRONG+1715
sku12,0,Other,REJUVENATE+RJ6WM,null,http://zoro.com/search?q=REJUVENATE+RJ6WM,http://grainger.com/product/REJUVENATE-Scratch-Eraser-Wood-Repair-43Y670?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/43Y670_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=REJUVENATE+RJ6WM,https://www.fastenal.com/products?term=REJUVENATE+RJ6WM,http://www.mscdirect.com/browse/?searchterm=REJUVENATE+RJ6WM
sku13,0,HVAC,DAYTON+1WBV3,Grainger Choice,http://zoro.com/search?q=DAYTON+1WBV3,http://grainger.com/product/DAYTON-Wall-Collar-1WBV3?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/1WBV1_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=DAYTON+1WBV3,https://www.fastenal.com/products?term=DAYTON+1WBV3,http://www.mscdirect.com/browse/?searchterm=DAYTON+1WBV3
sku14,0,Other,CRETORS+RMLA-X,null,http://zoro.com/search?q=CRETORS+RMLA-X,http://grainger.com/product/CRETORS-Cotton-Candy-Machine-31EV99?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/31EV99_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=CRETORS+RMLA-X,https://www.fastenal.com/products?term=CRETORS+RMLA-X,http://www.mscdirect.com/browse/?searchterm=CRETORS+RMLA-X
sku15,0,"Pumps, Plumbing & Test",ZURN+PEX+QQPSFC44XNPK1,null,http://zoro.com/search?q=ZURN+PEX+QQPSFC44XNPK1,http://grainger.com/product/ZURN-PEX-Polyalloy-PEX-and-Pipe-Adapter-10A558?s_pp=false&picUrl=//static.grainger.com/rp/s/is/image/Grainger/10A534_AS01?$smthumb$,https://www.amazon.com/s/ref=nb_sb_noss?field-keywords=ZURN+PEX+QQPSFC44XNPK1,https://www.fastenal.com/products?term=ZURN+PEX+QQPSFC44XNPK1,http://www.mscdirect.com/browse/?searchterm=ZURN+PEX+QQPSFC44XNPK1
